catalogNumber,scientificName
CASTYPE1500,Colletes profectus
CASTYPE1501,Colletes perileucus
CASTYPE1502,Agapostemon angelicus
CASTYPE1503,Agapostemon proscriptellus
CASTYPE1504,Agapostemon purpureopictus
CASTYPE1505,Agapostemon digueti
CASTYPE1506,Agapostemon cyanozonus
CASTYPE1507,Ceratina arizonensis vanduzeei
CASTYPE1508,Ceratina melanoptera
CASTYPE1509,Nomia howardi vanduzeei
CASTYPE1510,Hesperapis macrocephala
CASTYPE1511,Hesperapis leucura
CASTYPE1512,Megachile lobatifrons
CASTYPE1513,Megachile adelphodonta
CASTYPE1514,Megachile discorhina
CASTYPE1515,Megachile odontostoma
CASTYPE1516,Megachile slevini
CASTYPE1517,Megachile vanduzeei
CASTYPE15189,Centris gelida
CASTYPE1518,Megachile sonorana
CASTYPE15194,Perdita abducta
CASTYPE1519,Megachile brachysoma
CASTYPE1520,Megachile estebana
CASTYPE1521,Megachile tiburonensis
CASTYPE1522,Ashmeadiella haematopoda
CASTYPE1523,Ashmeadiella microsoma
CASTYPE1524,Ashmeadiella leucozona
CASTYPE1525,Ashmeadiella digiticauda
CASTYPE1526,Ashmeadiella rhodognatha
CASTYPE1527,Ashmeadiella subangusta
CASTYPE1528,Ashmeadiella crassa
CASTYPE1529,Coelioxys tiburonensis
CASTYPE15306,Andrena albosellata
CASTYPE15307,Andrena amplificata
CASTYPE15309,Andrena asclepiadis
CASTYPE1530,Coelioxys gonaspis
CASTYPE15310,Andrena bebbiana
CASTYPE15311,Andrena beckeri
CASTYPE15312,Andrena birtwelli
CASTYPE15313,Andrena birtwelli
CASTYPE15314,Andrena brachycarpae
CASTYPE15315,Andrena brevipalpis
CASTYPE15316,Andrena callopyrrha
CASTYPE15317,Andrena campbelli
CASTYPE15318,Andrena carlini
CASTYPE15319,Andrena chlorogaster
CASTYPE15320,Andrena chlorura
CASTYPE15321,Andrena colletina
CASTYPE15322,Andrena crataegiphila
CASTYPE15324,Andrena cyanophila
CASTYPE15325,Andrena cyanura
CASTYPE15326,Andrena davisiana
CASTYPE15327,Andrena edwiniae
CASTYPE15328,Andrena ellisiae
CASTYPE15329,Andrena ensenadensis
CASTYPE15330,Andrena eriogoni
CASTYPE15331,Andrena escondida
CASTYPE15332,Andrena fernaldiella
CASTYPE15333,Andrena fragiliformis
CASTYPE15334,Andrena gardineri
CASTYPE15335,Andrena griseonigra
CASTYPE15336,Andrena heteromorpha
CASTYPE15337,Andrena heterura
CASTYPE15338,Andrena hicksi
CASTYPE15339,Andrena hitei
CASTYPE15340,Andrena indianensis
CASTYPE15341,Andrena irana
CASTYPE15342,Andrena jacobaea
CASTYPE15343,Andrena kuznetzovi
CASTYPE15344,Andrena lamellicauda
CASTYPE15345,Andrena laminibucca
CASTYPE15346,Andrena lappulae
CASTYPE15347,Andrena latisigna
CASTYPE15348,Andrena layiae
CASTYPE15349,Andrena lewisii
CASTYPE15350,Andrena lucifera
CASTYPE15351,Andrena lupinorum
CASTYPE15352,Andrena macrocephala
CASTYPE15353,Andrena martialis
CASTYPE15354,Andrena mexicanorum
CASTYPE15355,Andrena micranthophila
CASTYPE15356,Andrena mimetica
CASTYPE15357,Andrena nigritarsis
CASTYPE15358,Andrena nigrocaerulea
CASTYPE15359,Andrena nubecula
CASTYPE15360,Andrena opacissima
CASTYPE15361,Andrena opaciventris
CASTYPE15362,Andrena osmioides
CASTYPE15363,Andrena peratra
CASTYPE15364,Andrena perforatella
CASTYPE15365,Andrena perimelas
CASTYPE15366,Andrena pertarda
CASTYPE15367,Andrena pertristis
CASTYPE15368,Andrena phocata
CASTYPE15369,Andrena physariae
CASTYPE15371,Andrena platyrhina
CASTYPE15372,Andrena politissima
CASTYPE15373,Andrena portosanctana
CASTYPE15374,Andrena pronitens
CASTYPE15375,Andrena prunicola
CASTYPE15376,Andrena pyrrhacita
CASTYPE15377,Andrena pyrura
CASTYPE15378,Andrena ramaleyi
CASTYPE15379,Andrena ribesina
CASTYPE15380,Andrena rodecki
CASTYPE15381,Andrena runcinatae
CASTYPE15382,Andrena saccharina
CASTYPE15384,Andrena seneciophila
CASTYPE15385,Andrena sieverti
CASTYPE15386,Andrena speculifera
CASTYPE15387,Andrena subtristis
CASTYPE15389,Andrena tardula
CASTYPE15390,Andrena trifoliata
CASTYPE15391,Andrena unicula
CASTYPE15392,Andrena vagans
CASTYPE15393,Andrena veris
CASTYPE15394,Andrena vestali
CASTYPE15395,Andrena vicina
CASTYPE15396,Andrena viridibasis
CASTYPE15397,Andrena ziziaeformis
CASTYPE15398,Calliopsis chlorops
CASTYPE15400,Calliopsis teucrii
CASTYPE15401,Camptopoeum reedi
CASTYPE15402,Diandrena beatula
CASTYPE15403,Diandrena clariventris
CASTYPE15404,Diandrena cyanosoma
CASTYPE15405,Diandrena puthua
CASTYPE15406,Diandrena sanctorum
CASTYPE15407,Epimethea kuznetzovi
CASTYPE15408,Glossoperdita pelargoides
CASTYPE15409,Greeleyella beardsleyi
CASTYPE15410,Greeleyella resinata
CASTYPE15411,Hypomacrotera callops
CASTYPE15412,Hypomacrotera callops persimilis
CASTYPE15414,Panurginus didirupa
CASTYPE15416,Panurginus labrosiformis distractus
CASTYPE15417,Panurginus nubis
CASTYPE15418,Panurginus polytrichus
CASTYPE15419,Panurginus porterae
CASTYPE15421,Parandrena atypica
CASTYPE15422,Perdita annexa
CASTYPE15423,Perdita anograe
CASTYPE15424,Perdita baileyae
CASTYPE15425,Perdita birkmanni
CASTYPE15426,Perdita bishoppi
CASTYPE15428,Perdita calloleuca
CASTYPE15429,Perdita cambarella
CASTYPE15430,Perdita coreopsidis
CASTYPE15431,Perdita crotonis
CASTYPE15432,Perdita eriogoni
CASTYPE15433,Perdita fallax
CASTYPE15434,Perdita gutierreziae
CASTYPE15435,Perdita howardi
CASTYPE15436,Perdita laticincta
CASTYPE15437,Perdita layiae
CASTYPE15438,Perdita lepidii
CASTYPE15439,Perdita luciae
CASTYPE15440,Perdita melanostoma
CASTYPE15441,Perdita mellina
CASTYPE15442,Perdita mentzeliarum
CASTYPE15443,Perdita opuntiae
CASTYPE15444,Perdita pectidis
CASTYPE15445,Perdita platyura
CASTYPE15446,Perdita pratti
CASTYPE15447,Perdita rehni
CASTYPE15448,Perdita rhois
CASTYPE15449,Perdita sonorensis
CASTYPE15450,Perdita stottleri
CASTYPE15451,Perdita stottleri
CASTYPE15452,Perdita subtristis
CASTYPE15453,Perdita tortifoliae
CASTYPE15454,Perdita townsendi
CASTYPE15455,Perdita tropicalis
CASTYPE15456,Perdita verbesinae
CASTYPE15457,Perdita vierecki
CASTYPE15458,Perdita wilmattae
CASTYPE15459,Perdita xanthismae
CASTYPE1545,Halictus vanduzeei
CASTYPE15460,Psaenythia thoracica
CASTYPE15461,Pseudopanurgus pectidellus
CASTYPE15462,Spinoliella euxantha
CASTYPE15463,Anthophora abruptella
CASTYPE15464,Anthophora anstrutheri
CASTYPE15465,Anthophora arthuri
CASTYPE15467,Anthophora curta petrophila
CASTYPE15468,Anthophora euops
CASTYPE1546,Halictus chionocephalus
CASTYPE15471,Anthophora tarsata subtarsata
CASTYPE15472,Anthophora usticauda
CASTYPE15474,Centris hoffmanseggiae davidsoni
CASTYPE15475,Diadasia afflictula
CASTYPE15476,Diadasia crassicauda
CASTYPE15477,Diadasia laticauda
CASTYPE15478,Diadasia nitidifrons
CASTYPE15479,Diadasia skinneri
CASTYPE15480,Emphor fuscojubatus
CASTYPE15483,Emphoropsis murihirta
CASTYPE15484,Entechnia dakotensis
CASTYPE15485,Entechnia grisella
CASTYPE15486,Exomalopsis chlorina
CASTYPE15488,Melissodes alopex
CASTYPE15489,Melissodes atrifera sandiarum
CASTYPE1548,Osmia vanduzeei
CASTYPE15491,Melissodes baileyi
CASTYPE15492,Melissodes bidentis
CASTYPE15493,Melissodes bruesi
CASTYPE15494,Melissodes confusiformis incondita
CASTYPE15495,Melissodes dagosa
CASTYPE15496,Melissodes glenwoodensis
CASTYPE15497,Melissodes grindeliae
CASTYPE15498,Melissodes helianthelli
CASTYPE15499,Melissodes helianthophila
CASTYPE1549,Osmia paradisica
CASTYPE15500,Melissodes hewetti
CASTYPE15501,Melissodes loena
CASTYPE15502,Melissodes machaerantherae
CASTYPE15503,Melissodes martini
CASTYPE15504,Melissodes martini hitei
CASTYPE15505,Melissodes megacerata
CASTYPE15506,Melissodes melandri
CASTYPE15507,Melissodes melanosoma
CASTYPE15508,Melissodes mizeae
CASTYPE15509,Melissodes moorei
CASTYPE1550,Osmia vandykei
CASTYPE15510,Melissodes nigrosignata
CASTYPE15512,Melissodes octobris
CASTYPE15513,Melissodes paroselae
CASTYPE15514,Melissodes pecosella verbesinarum
CASTYPE15515,Melissodes petulciformis
CASTYPE15516,Melissodes saponellus
CASTYPE15518,Melissodes semiagilis perlusa
CASTYPE15519,Melissodes stearnsi
CASTYPE1551,Osmia nemoris
CASTYPE15520,Melissodes texana flaveriae
CASTYPE15521,Melissodes tuckeri
CASTYPE15522,Melissodes xanthopteralis
CASTYPE15523,Neolarra vittata
CASTYPE15524,Neopasites eamia
CASTYPE15525,Pseudomelecta pasadenensis
CASTYPE15526,Synhalonia astragalina
CASTYPE15527,Synhalonia belfragei virgata
CASTYPE15528,Synhalonia crenulaticornis lippiae
CASTYPE15529,Synhalonia frater aragalli
CASTYPE1552,Osmia solitaria
CASTYPE15530,Synhalonia gillettei
CASTYPE15531,Synhalonia hirsutior
CASTYPE15532,Synhalonia idiotes
CASTYPE15533,Synhalonia territella
CASTYPE15534,Synhalonia truttae
CASTYPE15535,Tetralonia annae
CASTYPE15536,Tetralonia annae patruelis
CASTYPE15537,Tetralonia argyrophila
CASTYPE15538,Tetralonia astragalina clarissima
CASTYPE15539,Tetralonia birkmanniella
CASTYPE1553,Osmia enixa
CASTYPE15541,Tetralonia chrysophila
CASTYPE15542,Tetralonia cordleyi orophila
CASTYPE15543,Tetralonia douglasiana
CASTYPE15544,Tetralonia edwardsii vagabunda
CASTYPE15545,Tetralonia fedoris
CASTYPE15547,Tetralonia phaceliae
CASTYPE15548,Tetralonia pomonae
CASTYPE15549,Tetralonia yakimensis
CASTYPE1554,Osmia peridonea
CASTYPE15550,Xenoglossa crawfordi
CASTYPE15551,Xenoglossa davidsoni
CASTYPE15554,Xenoglossodes neotomae
CASTYPE15555,Xenoglossodes wilmattae
CASTYPE15556,Xylocopa tabaniformis parkinsoniae
CASTYPE15557,Melipona fasciata cramptoni
CASTYPE15558,Melipona mimetica
CASTYPE15559,Colletes algarobiae
CASTYPE1555,Osmia vana
CASTYPE15560,Colletes andrewsi
CASTYPE15561,Colletes angelicus
CASTYPE15562,Colletes cauponarius
CASTYPE15563,Colletes chamaesarachae
CASTYPE15564,Colletes cockerelli
CASTYPE15565,Colletes coloradensis
CASTYPE15566,Colletes florissantia
CASTYPE15567,Colletes gypsicolens
CASTYPE15568,Colletes hydrophilus
CASTYPE15569,Colletes lippiarum
CASTYPE1556,Osmia kerminesina
CASTYPE15570,Colletes myroni
CASTYPE15571,Colletes nitidicaudus
CASTYPE15572,Colletes phaceliae
CASTYPE15573,Colletes polemonii
CASTYPE15574,Colletes rufocinctus
CASTYPE15575,Colletes salicicola
CASTYPE15576,Colletes salicicola geranii
CASTYPE15577,Colletes sieverti
CASTYPE15578,Colletes trigonatus
CASTYPE15579,Colletes tucsonensis
CASTYPE1557,Osmia laeta
CASTYPE15580,Colletes wilmattae
CASTYPE15581,Colletes xerophilus sonoranus
CASTYPE15582,Euryglossa nitidifrons serrata
CASTYPE15583,Euryglossella nothula
CASTYPE15584,Prosopis bacillaria
CASTYPE15585,Prosopis eugeniella
CASTYPE15586,Prosopis flavojugata
CASTYPE15587,Prosopis hesperiphila
CASTYPE15588,Prosopis pulchripes
CASTYPE15589,Prosopis tuertonis
CASTYPE1558,Osmia rostrata
CASTYPE15590,Prosopis universitatis
CASTYPE15591,Augochlora banksiella
CASTYPE15592,Augochlora neglectula
CASTYPE15593,Augochlora sumptuosa bolliana
CASTYPE15594,Conanthalictus macrops
CASTYPE15595,Diandrena scintilla
CASTYPE15596,Dufourea descansana
CASTYPE15597,Halictoides boregoensis
CASTYPE15598,Halictoides campanulae
CASTYPE15599,Halictoides fallugiae
CASTYPE1559,Osmia exilis
CASTYPE15600,Halictoides harveyi
CASTYPE15601,Halictoides pulchricornis
CASTYPE15602,Halictoides virgatus
CASTYPE15603,Halictus cooleyi obscurior
CASTYPE15604,Halictus eophilus
CASTYPE15605,Halictus euryceps
CASTYPE15606,Halictus exiguiformis
CASTYPE15607,Halictus glaucovirens
CASTYPE15608,Halictus grindeliae
CASTYPE15609,Halictus hammondi
CASTYPE1560,Osmia seclusa
CASTYPE15610,Halictus jameseae
CASTYPE15611,Halictus lazulis
CASTYPE15613,Halictus meliloti
CASTYPE15614,Halictus ororyctes
CASTYPE15615,Halictus pacificus
CASTYPE15616,Halictus perdifficilis
CASTYPE15617,Halictus perpunctatus
CASTYPE15618,Halictus ripariellus
CASTYPE15619,Halictus tenuis
CASTYPE1561,Osmia sedula
CASTYPE15620,Nomia melanderi paysoni
CASTYPE15621,Nomia melandri
CASTYPE15622,Panurgus lustrans
CASTYPE15623,Proteraner leptanthi
CASTYPE15624,Proteraner rhois
CASTYPE15625,Sphecodes arroyanus
CASTYPE15626,Sphecodes arvensiformis
CASTYPE15627,Sphecodes eustictus
CASTYPE15628,Sphecodes hesperellus
CASTYPE1562,Osmia celsa
CASTYPE15630,Sphecodes olympicus
CASTYPE15631,Sphecodes patruelis
CASTYPE15632,Sphecodes rohweri
CASTYPE15633,Sphecodes sibuyanensis
CASTYPE15634,Sphecodes sulcatulus
CASTYPE15635,Sphecodes washingtoni
CASTYPE15636,Xeralictus timberlakei
CASTYPE15637,Ashmeadiella aridula
CASTYPE15638,Ashmeadiella florissantensis
CASTYPE15639,Ashmeadiella wislizeni
CASTYPE1563,Osmia proposita
CASTYPE15640,Chelostoma jacintanum
CASTYPE15641,Chelostomoides pratti
CASTYPE15642,Dioxys catalinensis
CASTYPE15643,Dioxys phaceliae
CASTYPE15644,Heriades sauteri
CASTYPE15645,Heriades sauteri philippinensis
CASTYPE15646,Hoplitis hicksi
CASTYPE15647,Megachile anograe
CASTYPE15648,Megachile bishoppi
CASTYPE15649,Megachile chilopsidis
CASTYPE1564,Osmia visenda
CASTYPE15651,Megachile disparipennis
CASTYPE15653,Megachile onobrychidis
CASTYPE15654,Megachile opuntiarum
CASTYPE15655,Megachile populi
CASTYPE15656,Megachile semiexilis
CASTYPE15657,Megachile sidalceae
CASTYPE15658,Megachile soledadensis
CASTYPE15659,Megachile townsendiana
CASTYPE1565,Osmia pellax
CASTYPE15660,Megachile verbesinae
CASTYPE15661,Osmia albolateralis
CASTYPE15662,Osmia angustipes
CASTYPE15663,Osmia aprilina
CASTYPE15664,Osmia coloradella
CASTYPE15665,Osmia copelandica
CASTYPE15666,Osmia cyanopoda
CASTYPE15667,Osmia erythrotricha
CASTYPE15668,Osmia gabrielis
CASTYPE15669,Osmia globosiformis
CASTYPE15670,Osmia hesperella
CASTYPE15671,Osmia hypochrysea
CASTYPE15673,Osmia hypocrita
CASTYPE15674,Osmia liogastra
CASTYPE15675,Osmia melanotricha
CASTYPE15676,Osmia pentstemonis
CASTYPE15677,Osmia wheeleri
CASTYPE15678,Robertsonella crataegina
CASTYPE15679,Robertsonella dolichosoma
CASTYPE15680,Halictoides ilicifoliae
CASTYPE15681,Hesperapis nitidulus
CASTYPE15682,Hesperapis semirudis
CASTYPE15683,Hesperapis wilmattae
CASTYPE15684,Panurgus rhodoceratus
CASTYPE15721,Andrena subrubicunda
CASTYPE15723,Andrena angustella
CASTYPE15725,Andrena milwaukeensis
CASTYPE15729,Andrena alceae
CASTYPE15730,Andrena impolita
CASTYPE15731,Andrena siccata
CASTYPE15788,Osmia giffardi
CASTYPE15880,Halictus trizonatus
CASTYPE15881,Lasioglossum anhypops
CASTYPE15882,Lasioglossum channelense
CASTYPE15883,Lasioglossum sandrae
CASTYPE15884,Lasioglossum tropidonotum
CASTYPE15885,Titusella clypeata
CASTYPE15936,Stelis anthidioides
CASTYPE15937,Stelis anthracina
CASTYPE15938,Stelis ashmeadiellae
CASTYPE15939,Stelis depressa
CASTYPE15940,Stelis nigriventris
CASTYPE15941,Stelis palmarum
CASTYPE15942,Stelis robertsoni
CASTYPE15943,Stelis semirubra
CASTYPE15944,Stelis seneciophila
CASTYPE15945,Stelis trichopyga
CASTYPE1598,Triepeolus lineatulus
CASTYPE1599,Triepeolus vandykei
CASTYPE1600,Triepeolus pallidiventris
CASTYPE1601,Triepeolus schwarzi subcalens
CASTYPE16023,Ceylalictus congoensis
CASTYPE1602,Triepeolus inyoensis
CASTYPE1603,Triepeolus blaisdelli
CASTYPE1604,Triepeolus haematurus
CASTYPE16056,Nomada timberlakei
CASTYPE1605,Triepeolus saturninus
CASTYPE1606,Triepeolus brunnescens
CASTYPE1607,Triepeolus mensae
CASTYPE1608,Triepeolus diversipes
CASTYPE1609,Epeolus rufomaculatus
CASTYPE16100,Nomada portalensis
CASTYPE1610,Epeolus geminatus
CASTYPE1611,Epeolus heterurus
CASTYPE1612,Epeolus melectimimus
CASTYPE1613,Epeolus rubrostictus
CASTYPE1614,Epeolus arciferus
CASTYPE1615,Epeolus pilatei
CASTYPE1633,Coelioxys rufitarsis claripes
CASTYPE1634,Coelioxys mediata
CASTYPE1635,Coelioxys salinaria
CASTYPE1636,Coelioxys asclepiadis
CASTYPE1637,Coelioxys hypodonta
CASTYPE1644,Nomada peninsularis
CASTYPE1648,Colletes slevini
CASTYPE1649,Hylaeus giffardiellus
CASTYPE1650,Halictus pavonotus
CASTYPE1651,Halictus aspilurus
CASTYPE1652,Agapostemon texanus vandykei
CASTYPE1653,Perdita pyrifera
CASTYPE1654,Perdita exclamans
CASTYPE1655,Spinoliella triangulifera
CASTYPE1656,Spinoliella equina
CASTYPE1657,Calliopsis pugionis
CASTYPE1659,Halictoides holocyaneus
CASTYPE16607,Rhopalolemma robertsi
CASTYPE1660,Halictoides spilurus
CASTYPE16613,Braunsapis hyalina
CASTYPE1661,Triepeolus pacis
CASTYPE1662,Oreopasites vanduzeei
CASTYPE1663,Exomalopsis chionura
CASTYPE1665,Megachile vandykei
CASTYPE16665,Trachusa catinula
CASTYPE1666,Chelostomopsis australis nanus
CASTYPE1667,Chelynia franciscana
CASTYPE16689,Andrena solivaga
CASTYPE1668,Chelynia chlorocyanea
CASTYPE1669,Chelynia leucotricha
CASTYPE1670,Chelynia fragariella
CASTYPE1671,Chelynia holocyanea
CASTYPE1672,Chelynia nitidula
CASTYPE1673,Chelynia subglauca
CASTYPE1674,Stelis callura
CASTYPE1675,Stelis fremonti
CASTYPE16848,Oreopasites hurdi
CASTYPE16849,Oreopasites powelli
CASTYPE16911,Oreopasites arizonica
CASTYPE16912,Oreopasites scituli
CASTYPE1700,Anthophora aterrima
CASTYPE1701,Anthophora nigritula
CASTYPE1702,Diadasia australis mimetica
CASTYPE1703,Diadasia blaisdelli
CASTYPE1704,Melissodes calloleuca
CASTYPE1705,Melissodes metenua
CASTYPE1706,Andrena semicyanea
CASTYPE1707,Andrena carissima
CASTYPE1708,Andrena blaisdelli
CASTYPE17097,Holcopasites linsleyi
CASTYPE1709,Andrena mesoleuca
CASTYPE1710,Andrena microdonta
CASTYPE1711,Andrena yosemitensis
CASTYPE1712,Andrena epileuca
CASTYPE1713,Andrena lustrans
CASTYPE1714,Andrena supervirens
CASTYPE1715,Andrena supervirens
CASTYPE1723,Andrena coactifera
CASTYPE1724,Andrena cuneilabris
CASTYPE17258,Leioproctus alloeopus
CASTYPE1725,Andrena shasta
CASTYPE17268,Ctenoceratina rossi
CASTYPE1726,Andrena sinaloa
CASTYPE1727,Andrena innominata
CASTYPE17282,Anthidium pallidiclypeum
CASTYPE1728,Andrena marina
CASTYPE1729,Anthidium fresnoense
CASTYPE1730,Anthidium xanthognathum
CASTYPE1731,Anthidium fontis
CASTYPE17327,Anthophora joetta
CASTYPE1732,Anthidium permaculatum
CASTYPE1733,Anthidium divisum
CASTYPE17361,Austronomia fumipennis
CASTYPE17362,Pronomia dayi
CASTYPE1736,Anthidium plumarium
CASTYPE1737,Anthidium angulatum
CASTYPE1738,Anthidium brachyurum
CASTYPE1739,Anthidium hamatum
CASTYPE17404,Pectinapis auricauda
CASTYPE1740,Anthidium spinosum
CASTYPE1741,Anthidium flavicaudum
CASTYPE1742,Anthidium puncticaudum
CASTYPE1743,Anthidium lucidum
CASTYPE1745,Dianthidium singulare melanognathum
CASTYPE1747,Callanthidium formosum pratense
CASTYPE17633,Anthophora godofredi
CASTYPE17634,Emphoropsis excellens
CASTYPE17731,Centris mourei
CASTYPE17936,Diadasia mexicana
CASTYPE18067,Andrena leucomystax
CASTYPE18068,Tetraloniella vandykei
CASTYPE18102,Andrena dissona
CASTYPE18246,Triepeolus antiochensis
CASTYPE18247,Triepeolus melanarius
CASTYPE18248,Triepeolus simulatus
CASTYPE18458,Othinosmia stupenda
CASTYPE18462,Habralictus insularis
CASTYPE18498,Anthidium ruizi
CASTYPE18537,Ceratina barbarae
CASTYPE18538,Ceratina braunsi
CASTYPE18539,Ceratina hexae
CASTYPE18557,Perdita albomarginata
CASTYPE18558,Perdita brevicornis
CASTYPE18559,Perdita janzeni
CASTYPE18560,Perdita pauxilla
CASTYPE18561,Perdita pilonotata
CASTYPE18638,Palaeorhiza concordiana
CASTYPE18639,Palaeorhiza demeter
CASTYPE18640,Palaeorhiza labergei
CASTYPE18641,Palaeorhiza nike
CASTYPE18642,Palaeorhiza pulawskii
CASTYPE18704,Euryglossina hypochroma
CASTYPE18706,Pachyprosopis saturnina
CASTYPE1877,Nomada klamathensis
CASTYPE19381,Triepeolus eliseae
CASTYPE19745,Ceratina volitans
CASTYPE2386,Panurgus melanocephalus
CASTYPE2387,Colletes kobensis
CASTYPE2388,Anthophora dulcifera
CASTYPE2389,Anthophora tsushimensis
CASTYPE2392,Megachile remotissima
CASTYPE2393,Xylocopa fallax thompsoni
CASTYPE2394,Nomada koreana
CASTYPE2395,Epeolus tsushimensis
CASTYPE2396,Bombomelecta callura
CASTYPE2461,Agapostemon martini
CASTYPE2462,Agapostemon epichryseus
CASTYPE2576,Perdita obliqua
CASTYPE2577,Perdita keiferi
CASTYPE2615,Perdita nigricollis
CASTYPE262,Megacilissa thoracica
CASTYPE263,Panurgus manifestus
CASTYPE264,Panurgus manifestus
CASTYPE265,Panurgus halictoides
CASTYPE266,Calliopsis margaritensis
CASTYPE267,Calliopsis margaritensis
CASTYPE268,Calliopsis scaber
CASTYPE269,Calliopsis concinnus
CASTYPE270,Perdita sparsa
CASTYPE271,Perdita sparsa
CASTYPE2729,Centris atripes ferrisi
CASTYPE272,Perdita sparsa
CASTYPE273,Perdita ventralis
CASTYPE274,Perdita ventralis
CASTYPE275,Perdita arcuata
CASTYPE276,Perdita arcuata
CASTYPE277,Ericrocis rugosa
CASTYPE278,Lithurgus oblongus
CASTYPE279,Lithurgus oblongus
CASTYPE280,Megachile occidentalis
CASTYPE281,Centris mustelina
CASTYPE282,Centris mustelina
CASTYPE283,Centris mustelina
CASTYPE284,Centris mustelina
CASTYPE285,Oxaea vagans
CASTYPE286,Oxaea vagans
CASTYPE287,Centris eisenii
CASTYPE288,Centris eisenii
CASTYPE289,Centris eisenii
CASTYPE290,Centris eisenii
CASTYPE2988,Perdita turgiceps
CASTYPE2989,Perdita interrupta
CASTYPE2990,Perdita hirticeps
CASTYPE2991,Perdita blaisdelli
CASTYPE3616,Megachile palmensis
CASTYPE3617,Megachile blaisdelli
CASTYPE3618,Megachile mojavensis
CASTYPE3619,Megachile seducta
CASTYPE4164,Ashmeadiella clypeodentata
CASTYPE4165,Ashmeadiella rhodopus
CASTYPE4199,Halictus sequoiae
CASTYPE4200,Halictus humboldtensis
CASTYPE4201,Halictus mendocinensis
CASTYPE4202,Halictus marinensis
CASTYPE4217,Andrena vandykei
CASTYPE4218,Diandrena marinensis
CASTYPE4228,Andrena melanodora
CASTYPE4229,Andrena submaura
CASTYPE4231,Andrena ceanothifloris
CASTYPE4233,Andrena grundeli
CASTYPE4235,Andrena rubrotincta
CASTYPE4256,Raphidostoma ceanothi
CASTYPE4257,Andrena ablusula
CASTYPE4258,Andrena angustella
CASTYPE4259,Andrena anisochlora
CASTYPE4260,Andrena ceanothina
CASTYPE4261,Andrena cercocarpi
CASTYPE4262,Andrena lupini
CASTYPE4263,Andrena microchlora
CASTYPE4264,Andrena nitidicornis
CASTYPE4265,Andrena opacibasis
CASTYPE4266,Andrena orthocarpi
CASTYPE4267,Andrena ripariella
CASTYPE4268,Andrena semotula
CASTYPE4269,Andrena solutula
CASTYPE4270,Andrena viridinitens
CASTYPE4271,Diandrena purdyi
CASTYPE4272,Halictus allonotus
CASTYPE4273,Halictus cyanurus
CASTYPE4274,Halictus lupinelli
CASTYPE4275,Halictus orthocarpi
CASTYPE4276,Halictus pilosellus
CASTYPE4277,Halictus tracyi
CASTYPE4344,Protepeolus singularis
CASTYPE4345,Hexepeolus mojavensis
CASTYPE4347,Hexepeolus rhodogyne
CASTYPE4349,Paranomada nitida
CASTYPE4359,Panurginus maritimus
CASTYPE4360,Panurginus emarginatus
CASTYPE4361,Panurginus nigrihirtus
CASTYPE4362,Panurginus ceanothi
CASTYPE4363,Halictoides californicus
CASTYPE4365,Osmia gracilis
CASTYPE4366,Osmia abdominalis
CASTYPE4438,Melitta californica
CASTYPE4491,Chelostoma phaceliae
CASTYPE4493,Chelostoma bernardinum
CASTYPE4494,Chelostoma minutum cockerelli
CASTYPE4511,Osmia alta
CASTYPE4538,Chelostoma minutum incisulum
CASTYPE4541,Andrena bernardina
CASTYPE4543,Andrena vanduzeei
CASTYPE4544,Townsendiella californica
CASTYPE4545,Halictus giffardi
CASTYPE4571,Neolarra vandykei
CASTYPE4573,Neolarra coloradensis
CASTYPE4598,Heriades occidentalis
CASTYPE4600,Heriades cressoni
CASTYPE4602,Lithurgus socorroensis
CASTYPE4649,Bombus nevadensis miguelensis
CASTYPE4650,Bombus crotchii semisuffusus
CASTYPE4651,Epeolus eastwoodae
CASTYPE4652,Anthidium palliventre vanduzeei
CASTYPE4654,Agapostemon californicus psammobius
CASTYPE4655,Halictus megastictus
CASTYPE4657,Halictus perichlarus
CASTYPE4659,Halictus pilosicaudus
CASTYPE4660,Halictus cabrilli
CASTYPE4661,Halictus miguelensis
CASTYPE4662,Osmia theta
CASTYPE4663,Clisodon terminalis sperryi
CASTYPE4664,Lithurgus arizonensis
CASTYPE4665,Osmia lyncis
CASTYPE4666,Osmia caulicola
CASTYPE4667,Bombomelecta johnsoni
CASTYPE4668,Neolarra alba
CASTYPE4669,Dioxys pacificus
CASTYPE4670,Dioxys rohweri
CASTYPE4671,Osmia nelsoni
CASTYPE4673,Bombomelecta semifulva
CASTYPE4709,Halictus albuquerquensis
CASTYPE4710,Panurginus bilobatus
CASTYPE4711,Calliopsis bernardinensis
CASTYPE4714,Hesperapis parva
CASTYPE4715,Halictus abietum
CASTYPE4716,Halictus pasadenae
CASTYPE4717,Anthophora rhodothorax
CASTYPE4718,Hesperapis arida
CASTYPE4726,Ashmeadiella occipitalis
CASTYPE4729,Ashmeadiella sonora
CASTYPE4734,Ashmeadiella sculleni
CASTYPE4735,Ashmeadiella eurynorhyncha
CASTYPE4737,Ashmeadiella erema
CASTYPE4740,Ashmeadiella salviae
CASTYPE4742,Ashmeadiella cazieri
CASTYPE4743,Ashmeadiella foxiella
CASTYPE4744,Ashmeadiella inyoensis
CASTYPE4746,Ashmeadiella breviceps
CASTYPE4748,Ashmeadiella xenomastax
CASTYPE4758,Andrena macrocephala
CASTYPE4771,Melecta sierrae
