catalogNumber,scientificName
CASTYPE14390,Nomadopsis barbata
CASTYPE14391,Nomadopsis foleyi
CASTYPE14392,Nomadopsis larreae
CASTYPE14393,Nomadopsis mellipes
CASTYPE14394,Nomadopsis nigromaculata
CASTYPE14395,Nomadopsis phaceliae
CASTYPE14396,Nomadopsis timberlakei
CASTYPE14397,Nomadopsis trifolii
CASTYPE14398,Perdita abdominalis
CASTYPE14399,Perdita acaciae
CASTYPE14400,Perdita acapulcona
CASTYPE14401,Perdita accepta
CASTYPE14402,Perdita adustiventris
CASTYPE14403,Perdita aemula
CASTYPE14404,Perdita aemula
CASTYPE14405,Perdita affecta
CASTYPE14406,Perdita albata
CASTYPE14407,Perdita albescens
CASTYPE14408,Perdita albihirta
CASTYPE14409,Perdita albihirta
CASTYPE14410,Perdita albipes
CASTYPE14411,Perdita albocincta
CASTYPE14412,Perdita albofasciata
CASTYPE14413,Perdita albomaculata
CASTYPE14414,Perdita albonotata
CASTYPE14415,Perdita albopicta
CASTYPE14416,Perdita algodones
CASTYPE14417,Perdita ambigua
CASTYPE14418,Perdita amicula
CASTYPE14419,Perdita ampla
CASTYPE14420,Perdita amplipennis
CASTYPE14421,Perdita ancoralis
CASTYPE14422,Perdita anthracina
CASTYPE14423,Perdita apacheorum
CASTYPE14424,Perdita aperta
CASTYPE14425,Perdita aplopappi
CASTYPE14426,Perdita arenaria
CASTYPE14427,Perdita argemones
CASTYPE14428,Perdita aridella
CASTYPE14429,Perdita arizonica
CASTYPE14430,Perdita ashmeadi
CASTYPE14431,Perdita assimilis
CASTYPE14432,Perdita associata
CASTYPE14433,Perdita atrata
CASTYPE14435,Perdita atrovirens
CASTYPE14436,Perdita aureovittata
CASTYPE14437,Perdita aureovittata
CASTYPE14438,Perdita azteca
CASTYPE14439,Perdita barri
CASTYPE14440,Perdita basinicola
CASTYPE14441,Perdita bebbiae
CASTYPE14442,Perdita bellula
CASTYPE14443,Perdita biguttata
CASTYPE14444,Perdita bilobata
CASTYPE14445,Perdita bispinata
CASTYPE14446,Perdita blanda
CASTYPE14447,Perdita bohartorum
CASTYPE14448,Perdita brachyglossa
CASTYPE14449,Perdita brevihirta
CASTYPE14450,Perdita butleri
CASTYPE14451,Perdita californica
CASTYPE14452,Perdita calloleuca
CASTYPE14453,Perdita carinata
CASTYPE14454,Perdita chemsaki
CASTYPE14455,Perdita chionostoma
CASTYPE14456,Perdita chrysopsina
CASTYPE14457,Perdita claripennis
CASTYPE14458,Perdita clypeata
CASTYPE14459,Perdita clypeata
CASTYPE14460,Perdita coalingensis
CASTYPE14461,Perdita cognata
CASTYPE14462,Perdita coldeniae
CASTYPE14464,Perdita compacta
CASTYPE14465,Perdita compactilis
CASTYPE14466,Perdita compta
CASTYPE14467,Perdita confinis
CASTYPE14468,Perdita confusa
CASTYPE14469,Perdita congrua
CASTYPE14470,Perdita consimilis
CASTYPE14471,Perdita cowaniae
CASTYPE14472,Perdita crandalli
CASTYPE14473,Perdita craterognatha
CASTYPE14474,Perdita croceipes
CASTYPE14475,Perdita crotonis
CASTYPE14476,Perdita crotonis
CASTYPE14477,Perdita crotonis
CASTYPE14478,Perdita crotonis
CASTYPE14479,Perdita crotonis
CASTYPE14480,Perdita cruciferarum
CASTYPE14481,Perdita cuspidata
CASTYPE14482,Perdita dammersi
CASTYPE14483,Perdita decemnotata
CASTYPE14484,Perdita dentata
CASTYPE14485,Perdita depressa
CASTYPE14486,Perdita dicksoni
CASTYPE14487,Perdita differens
CASTYPE14488,Perdita difficilis
CASTYPE14489,Perdita digna
CASTYPE14490,Perdita digressa
CASTYPE14491,Perdita dilecta
CASTYPE14492,Perdita dimidiata
CASTYPE14493,Perdita distans
CASTYPE14494,Perdita distincta
CASTYPE14495,Perdita distropica
CASTYPE14496,Perdita duplicata
CASTYPE14497,Perdita duplonotata
CASTYPE14498,Perdita durangoensis
CASTYPE14499,Perdita echinocacti
CASTYPE14500,Perdita electa
CASTYPE14501,Perdita elegans
CASTYPE14503,Perdita ensenadensis
CASTYPE14504,Perdita eremica
CASTYPE14505,Perdita eremophila
CASTYPE14506,Perdita eriastri
CASTYPE14507,Perdita eriastri
CASTYPE14508,Perdita erythropyga
CASTYPE14509,Perdita eucnides
CASTYPE14510,Perdita euphorbiae
CASTYPE14511,Perdita euzonata
CASTYPE14512,Perdita ewarti
CASTYPE14513,Perdita excellens
CASTYPE14514,Perdita exigua
CASTYPE14515,Perdita eximia
CASTYPE14516,Perdita eysenhardtiae
CASTYPE14517,Perdita falcata
CASTYPE14518,Perdita fallugiae
CASTYPE14519,Perdita fasciata
CASTYPE14520,Perdita fasciatella
CASTYPE14521,Perdita festiva
CASTYPE14523,Perdita flavicauda
CASTYPE14524,Perdita flavicauda
CASTYPE14525,Perdita flavicornis
CASTYPE14526,Perdita flavifrons
CASTYPE14527,Perdita foleyi
CASTYPE14528,Perdita fortis
CASTYPE14529,Perdita foveata
CASTYPE14530,Perdita fremonti
CASTYPE14531,Perdita frontalis
CASTYPE14532,Perdita fulvescens
CASTYPE14533,Perdita fulvicauda
CASTYPE14534,Perdita fulviventris
CASTYPE14535,Perdita fuscipes
CASTYPE14536,Perdita gemella
CASTYPE14537,Perdita genalis
CASTYPE14538,Perdita genalis
CASTYPE14539,Perdita gentilis
CASTYPE14540,Perdita giliae
CASTYPE14541,Perdita gillaspyi
CASTYPE14542,Perdita glabrella
CASTYPE14543,Perdita glabrescens
CASTYPE14544,Perdita glamis
CASTYPE14545,Perdita gracilis
CASTYPE14546,Perdita gratiosa
CASTYPE14547,Perdita greggiae
CASTYPE14548,Perdita haigi
CASTYPE14549,Perdita halli
CASTYPE14550,Perdita heliotropii
CASTYPE14551,Perdita heterothecae
CASTYPE14552,Perdita hidalgoensis
CASTYPE14553,Perdita hiemalis
CASTYPE14554,Perdita hilaris
CASTYPE14555,Perdita hirtella
CASTYPE14556,Perdita hirticeps
CASTYPE14557,Perdita hirticeps
CASTYPE14558,Perdita hirticeps
CASTYPE14559,Perdita humilis
CASTYPE14560,Perdita hurdi
CASTYPE14561,Perdita idahoensis
CASTYPE14562,Perdita idonea
CASTYPE14563,Perdita imberbis
CASTYPE14564,Perdita impressa
CASTYPE14565,Perdita impunctifrons
CASTYPE14566,Perdita indioensis
CASTYPE14567,Perdita inflexa
CASTYPE14568,Perdita innotata
CASTYPE14569,Perdita insequens
CASTYPE14570,Perdita interrupta
CASTYPE14571,Perdita interserta
CASTYPE14572,Perdita irregularis
CASTYPE14573,Perdita jucunda
CASTYPE14574,Perdita kanabensis
CASTYPE14575,Perdita knowltoni
CASTYPE14577,Perdita labrata
CASTYPE14578,Perdita labrosa
CASTYPE14579,Perdita lateralis
CASTYPE14580,Perdita lepidosparti
CASTYPE14581,Perdita leucophylli
CASTYPE14582,Perdita leucosticta
CASTYPE14583,Perdita levissima
