CASTYPE935	Centris tiburonensis	SAME_AS	GBIF:8403669	Centris		genus		Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Centris	GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4334 | GBIF:8403669	kingdom | phylum | class | order | family | genus		http://eol.org/pages/42313
CASTYPE935	Centris tiburonensis	SAME_AS	GBIF:8451796	Centris		genus		Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Centris	GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4334 | GBIF:8451796	kingdom | phylum | class | order | family | genus		http://eol.org/pages/42313
CASTYPE935	Centris tiburonensis	SAME_AS	http://taxon-concept.plazi.org/id/Animalia/Centris_Anisoctenodes_Vivallo_2020	Centris				Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Centris		kingdom | phylum | class | order | family | genus		http://taxon-concept.plazi.org/id/Animalia/Centris_Anisoctenodes_Vivallo_2020
CASTYPE935	Centris tiburonensis	SAME_AS	http://taxon-concept.plazi.org/id/Animalia/Centris_Hemisiella_Moure_1945	Centris				Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Centris		kingdom | phylum | class | order | family | genus		http://taxon-concept.plazi.org/id/Animalia/Centris_Hemisiella_Moure_1945
CASTYPE935	Centris tiburonensis	SAME_AS	http://taxon-concept.plazi.org/id/Animalia/Centris_Heterocentris_Cockerell_1899	Centris				Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Centris		kingdom | phylum | class | order | family | genus		http://taxon-concept.plazi.org/id/Animalia/Centris_Heterocentris_Cockerell_1899
CASTYPE935	Centris tiburonensis	SAME_AS	http://taxon-concept.plazi.org/id/Animalia/Centris_Wagenknechtia_Moure_1950	Centris				Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Centris		kingdom | phylum | class | order | family | genus		http://taxon-concept.plazi.org/id/Animalia/Centris_Wagenknechtia_Moure_1950
CASTYPE935	Centris tiburonensis	SAME_AS	http://treatment.plazi.org/id/03A487B2FA41FF80C8BA84EEFABFD54F	http://treatment.plazi.org/id/03A487B2FA41FF80C8BA84EEFABFD54F				http://treatment.plazi.org/id/03A487B2FA41FF80C8BA84EEFABFD54F				http://treatment.plazi.org/id/03A487B2FA41FF80C8BA84EEFABFD54F
CASTYPE935	Centris tiburonensis	SAME_AS	http://treatment.plazi.org/id/03C287D48708AA1047EEF8FCDFBAA95A	http://treatment.plazi.org/id/03C287D48708AA1047EEF8FCDFBAA95A				http://treatment.plazi.org/id/03C287D48708AA1047EEF8FCDFBAA95A				http://treatment.plazi.org/id/03C287D48708AA1047EEF8FCDFBAA95A
CASTYPE935	Centris tiburonensis	SAME_AS	http://treatment.plazi.org/id/6C6487A9FFE0F967B1E72C6A56FCF829	http://treatment.plazi.org/id/6C6487A9FFE0F967B1E72C6A56FCF829				http://treatment.plazi.org/id/6C6487A9FFE0F967B1E72C6A56FCF829				http://treatment.plazi.org/id/6C6487A9FFE0F967B1E72C6A56FCF829
CASTYPE935	Centris tiburonensis	SAME_AS	http://treatment.plazi.org/id/6C6487A9FFF7F973B1E72CDD5150FE29	http://treatment.plazi.org/id/6C6487A9FFF7F973B1E72CDD5150FE29				http://treatment.plazi.org/id/6C6487A9FFF7F973B1E72CDD5150FE29				http://treatment.plazi.org/id/6C6487A9FFF7F973B1E72CDD5150FE29
CASTYPE935	Centris tiburonensis	SAME_AS	http://treatment.plazi.org/id/914787B6FF84D158FF41FEDB385F9F33	http://treatment.plazi.org/id/914787B6FF84D158FF41FEDB385F9F33				http://treatment.plazi.org/id/914787B6FF84D158FF41FEDB385F9F33				http://treatment.plazi.org/id/914787B6FF84D158FF41FEDB385F9F33
CASTYPE935	Centris tiburonensis	SAME_AS	http://treatment.plazi.org/id/914787B6FF8CD150FD89FDF23E849C60	http://treatment.plazi.org/id/914787B6FF8CD150FD89FDF23E849C60				http://treatment.plazi.org/id/914787B6FF8CD150FD89FDF23E849C60				http://treatment.plazi.org/id/914787B6FF8CD150FD89FDF23E849C60
CASTYPE935	Centris tiburonensis	SAME_AS	IRMNG:1384917	Centris		genus		Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Centris	IRMNG:11 | IRMNG:235 | IRMNG:1096 | IRMNG:10830 | IRMNG:101097 | IRMNG:1384917	kingdom | phylum | class | order | family | genus		http://eol.org/pages/42313
CASTYPE935	Centris tiburonensis	SAME_AS	ITIS:634058	Centris		genus		Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Apidae | Apinae | Centridini | Centris	ITIS:202423 | ITIS:914154 | ITIS:914155 | ITIS:914158 | ITIS:82696 | ITIS:563886 | ITIS:99208 | ITIS:100500 | ITIS:563890 | ITIS:914213 | ITIS:152741 | ITIS:152864 | ITIS:709253 | ITIS:154344 | ITIS:154394 | ITIS:633913 | ITIS:633934 | ITIS:634058	kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus		http://eol.org/pages/42313
CASTYPE935	Centris tiburonensis	SAME_AS	WD:Q4035964	Centris		genus		| Centris	WD:Q2946140 | WD:Q4035964	null | genus		https://www.wikidata.org/wiki/Q4035964
CASTYPE9540	Hylaeus insolitus	SAME_AS	GBIF:1349611	Hylaeus insolitus		species		Animalia | Arthropoda | Insecta | Hymenoptera | Colletidae | Hylaeus | Hylaeus insolitus	GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:7905 | GBIF:1349360 | GBIF:1349611	kingdom | phylum | class | order | family | genus | species		http://www.gbif.org/species/1349611
CASTYPE9540	Hylaeus insolitus	SAME_AS	http://treatment.plazi.org/id/8D54DDCCDAB25C388B037D172B0286AA	http://treatment.plazi.org/id/8D54DDCCDAB25C388B037D172B0286AA				http://treatment.plazi.org/id/8D54DDCCDAB25C388B037D172B0286AA				http://treatment.plazi.org/id/8D54DDCCDAB25C388B037D172B0286AA
CASTYPE9540	Hylaeus insolitus	SAME_AS	IRMNG:10233455	Hylaeus insolitus		species		Animalia | Arthropoda | Insecta | Hymenoptera | Colletidae | Hylaeus | Hylaeus insolitus	IRMNG:11 | IRMNG:235 | IRMNG:1096 | IRMNG:10830 | IRMNG:110915 | IRMNG:1308127 | IRMNG:10233455	kingdom | phylum | class | order | family | genus | species		http://www.marine.csiro.au/mirrorsearch/ir_search.list_species?sp_id=10233455
CASTYPE9540	Hylaeus insolitus	SAME_AS	ITIS:655734	Hylaeus insolitus		species		Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Colletidae | Hylaeinae | Hylaeus | Hylaeus insolitus	ITIS:202423 | ITIS:914154 | ITIS:914155 | ITIS:914158 | ITIS:82696 | ITIS:563886 | ITIS:99208 | ITIS:100500 | ITIS:563890 | ITIS:914213 | ITIS:152741 | ITIS:152864 | ITIS:709253 | ITIS:154344 | ITIS:154345 | ITIS:633919 | ITIS:154346 | ITIS:655734	kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | genus | species		http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=655734
