CASTYPE1502	Agapostemon angelicus	SAME_AS	WD:Q2315188	Agapostemon angelicus		species		| Agapostemon angelicus	WD:Q3606354 | WD:Q2315188	null | species		https://www.wikidata.org/wiki/Q2315188
CASTYPE1502	Agapostemon angelicus	SAME_AS	WD:Q3606354	Agapostemon		genus		| Agapostemon	WD:Q2276661 | WD:Q3606354	null | genus		https://www.wikidata.org/wiki/Q3606354
CASTYPE15649	Megachile chilopsidis	SAME_AS	GBIF:1335298	Megachile chilopsidis		species		Animalia | Arthropoda | Insecta | Hymenoptera | Megachilidae | Megachile | Megachile chilopsidis	GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:7911 | GBIF:1335011 | GBIF:1335298	kingdom | phylum | class | order | family | genus | species		http://www.gbif.org/species/1335298
CASTYPE15649	Megachile chilopsidis	SAME_AS	ITIS:761220	Megachile chilopsidis		species		Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Megachilidae | Megachilinae | Megachilini | Megachile | Megachile chilopsidis	ITIS:202423 | ITIS:914154 | ITIS:914155 | ITIS:914158 | ITIS:82696 | ITIS:563886 | ITIS:99208 | ITIS:100500 | ITIS:563890 | ITIS:914213 | ITIS:152741 | ITIS:152864 | ITIS:709253 | ITIS:154344 | ITIS:154365 | ITIS:633926 | ITIS:633962 | ITIS:154366 | ITIS:761220	kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species		http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=761220
CASTYPE15649	Megachile chilopsidis	SAME_AS	doi:10.11646/zootaxa.4524.3.1	doi:10.11646/zootaxa.4524.3.1				doi:10.11646/zootaxa.4524.3.1				https://doi.org/10.11646/zootaxa.4524.3.1
CASTYPE15649	Megachile chilopsidis	SAME_AS	doi:10.3897/BDJ.4.e8050	doi:10.3897/BDJ.4.e8050				doi:10.3897/BDJ.4.e8050				https://doi.org/10.3897/BDJ.4.e8050
CASTYPE15649	Megachile chilopsidis	SAME_AS	GBIF:1335011	Megachile		genus		Animalia | Arthropoda | Insecta | Hymenoptera | Megachilidae | Megachile	GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:7911 | GBIF:1335011	kingdom | phylum | class | order | family | genus		http://eol.org/pages/104071
CASTYPE15649	Megachile chilopsidis	SAME_AS	GBIF:7890855	Megachile		genus		Animalia | Arthropoda | Insecta | Hymenoptera | Megachilidae | Megachile	GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:7911 | GBIF:7890855	kingdom | phylum | class | order | family | genus		http://eol.org/pages/104071
CASTYPE15649	Megachile chilopsidis	SAME_AS	GBIF:8447673	Megachile		genus		Animalia | Arthropoda | Insecta | Hymenoptera | Megachilidae | Megachile	GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:7911 | GBIF:8447673	kingdom | phylum | class | order | family | genus		http://eol.org/pages/104071
CASTYPE15649	Megachile chilopsidis	SAME_AS	http://taxon-concept.plazi.org/id/Animalia/Megachile_Latreille_1802	Megachile				Animalia | Arthropoda | Insecta | Hymenoptera | Megachilidae | Megachile		kingdom | phylum | class | order | family | genus		http://taxon-concept.plazi.org/id/Animalia/Megachile_Latreille_1802
